list,company
ตู้ A1,A
ตู้ A2,A
ตู้ A3,A
ตู้ A4,A
ตู้ A5,A
ตู้ A6,A
ตู้ A7,A
ตู้ B1,A
ตู้ B2,A
ตู้ B2,A
ตู้ B2,A
ตู้ B3,A
ตู้ B4,A
ตู้ B5,A
ตู้ B6,A
ตู้ B7,A
ตู้ B8,A
ตู้ B9,A
ตู้ C1,A
ตู้ C2,A
ตู้ C3,A
ตู้ C4,A
ตู้ C5,A
ตู้ C6,A
ตู้ C7,A
ตู้ C8,A
ตู้ C9,A
ตู้ D1,A
ตู้ D1,A
ตู้ D2,A
ตู้ D3,A
ตู้ D4,A
ตู้ D5,A
ตู้ D6,A
ตู้ D7,A
ตู้ D8,A
ตู้ E1,A
ตู้ E2,A
ตู้ E3,A
ตู้ E4,A
ตู้ E5,A
ตู้ E6,A
ตู้ E7,A
ตู้ E8,A
ตู้ E9,A
ตู้ F1,A
ตู้ F2,A
ตู้ F3,A
ตู้ F4,A
ตู้ F5,A
ตู้ F6,A
ตู้ F7,A
ตู้ G1,A
ตู้ G2,A
ตู้ G3,A
ตู้ G4,A
ตู้ G4,A
ตู้ G5,A
ตู้ G6,A
ตู้ G7,A
ตู้ ก1,A
ตู้ ก2,A
ตู้ ก3,A
ตู้ ข1,A
ตู้ ข2,A
ตู้ ข3,A
ตู้ ค1,A
ตู้ ค2,A
ตู้ ค3,A
ตู้ ว2,A
ตู้เย็น,A
น1/1,A
น1/2,A
น1/3,A
น1/4,A
น1/5,A
น3/4L,A
น2/3R,A
ตู้ ขย. 11 (เม็ด),A
น 2/4L,A
ล 2/1,A
ล 2,A
