id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
2175,1000,100000,แก้ไอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 ช้อนโต๊ะ,-,-,NULL
2176,1000,100001,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2177,1000,100002,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2178,1000,100003,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
2179,1000,100004,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
2180,1000,100005,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
2181,1000,100006,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
2182,1000,100007,แก้จุกเสียด แน่นท้อง ขับลม ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
2183,1000,100008,บรรเทาอาการปวดเกร็งท้อง,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
2184,1000,100009,เสริมธาตุเหล็ก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2185,1000,100010,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2186,1000,100011,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
2187,1000,100012,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
