id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
3305,1,100000,แก้ไอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 ช้อนโต๊ะ,-,-,NULL
3306,1,100001,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3307,1,100002,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3308,1,100003,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
3309,1,100004,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
3310,1,100005,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3311,1,100006,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3312,1,100007,แก้จุกเสียด แน่นท้อง ขับลม ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3313,1,100008,บรรเทาอาการปวดเกร็งท้อง,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3314,1,100009,เสริมธาตุเหล็ก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3315,1,100010,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3316,1,100011,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3317,1,100012,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3318,1,100013,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3319,1,100014,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3320,1,100015,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3321,1,100016,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3322,1,100017,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3323,1,100018,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3324,1,100019,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3325,1,100020,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3326,1,100021,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,NULL
3327,1,100022,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3328,1,100023,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3329,1,100024,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
3330,1,100025,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,NULL
