shortlist,list,company
GUAIFENESIN,GUAIFENESIN,A
ACICLO,ACICLOVIR,A
CMBP,ACTIVATED CHARCOAL+MAGNESIUM+BELLADONNA+PEPERMINT OIL,A
ADAPA,ADAPALENE,A
AES,AESCIN,A
ALBEN,ALBENDAZOLE,A
ALLO,ALLOPURINOL,A
ALMG,ALUMINIUM HYDROXIDE+MAGNESIUM HYDROXIDE,A
ALOHMASI,ALUMINIUM+MAGNESIUM OH+SIMETHICONE,A
AMSD,ALUMINIUM+MAGNESIUM OH+SIMETHICONE+DICYCLOMINE HCL,A
AMBR,AMBROXOL,A
AMITRIP,AMITRIPTYLINE,A
AMLO,AMLODIPINE,A
AMOXCLA,AMOX+CLAVU,A
AMOX,AMOXICILLINE,A
AMPI,AMPICILLIN,A
ANTAZTETRA,ANTAZOLINE+TETRAHYDROZOLINE,A
VIT C,ASCORBIC ACID,A
ASA,ASPIRIN,A
ATENO,ATENOLOL,A
ATORVA,ATORVASTATIN,A
ATROP,ATROPINE,A
AZLE,AZELAIC ACID,A
AZITH,AZITHROMYCIN,A
BP,BENZOYL PEROXIDE,A
BEN,BENZYDAMINE HCL,A
BETAH,BETAHISTINE,A
BETA,BETAMETHASONE,A
BETA-G,BETAMETHASONE + GENTAMYCIN,A
BETA-N,BETAMETHASONE + NEOMYCIN,A
BETA-SA,BETAMETHASONE + SALICYLIC ACID,A
BETGENTONCLI,BETAMETHASONE+GENTAMYCIN+TONAFTATE+CLIOQUINOL,A
BETA-T,BETAMETHASONE+TOLNAFTATE+IODOCHLORHYDROX,A
MYCOS,BIFONAZOLE,A
BIL,BILASTIN,A
BIO,BIOTIN,A
BISA,BISACODYL,A
BISMUTH,BISMUTH SUBSALICYLATE,A
CONCOR,BISOPROLOL,A
BROMH,BROMHEXINE,A
BROMGLY,BROMHEXINE + GUAIFENESIN,A
BPMP,BROMPHENIRAMINE+PHENYLPROPANILAMINE,A
BUDE,BUDESONIDE,A
CAZ,CALAMINE+ZINC OXIDE+GLYCERINE,A
CALCCAR,CALCIUM CARBONATE,A
CAL+D,CALCIUM+VITAMIN D,A
CAMP,CAMPHOR,A
CAPS,CAPSAICIN,A
CARAM,CARAMINE+ZINE OXIDE+DIPHENHYDRAMINE+CAMPHOR+MENTHOL+ETHYL ALCOHOL,A
CARBAR,CARBARIL,A
CARBOCY,CARBOCYSTEINE,A
CARBOXYM,CARBOXYMETHYLCELLULOSE Na,A
CRAM,CARMINATIVE+ANTIFLATULENCE,A
CARVE,CARVEDIOL,A
CEFA,CEFALEXIN,A
CELEC,CELECOXIB,A
CEFDI,CERDINIR,A
CETIR,CETIRIZINE,A
CHLORAM,CHLORAMPHENICOL,A
CHLORH,CHLORHEXIDINE,A
CPMPSEUD,CHLORPHEN+PSEUDOEPHEDRINE+DEXTRO,A
CPM,CHLORPHENIRAMINE,A
CPMAM,CHLORPHENIRRAMINE+AMMONIUM CL+SO.CITRATE,A
CIMET,CIMETIDINE,A
CINNA,CINNARIZINE,A
CIPRO,CIPROFLOXACIN,A
CLINDA,CLINDAMYCIN,A
CLOBETAS,CLOBETASONE,A
CLOPID,CLOPIDOGREL,A
CLOTRI,CLOTRIMAZOLE,A
CLOTR-B,CLOTRIMAZOLE+BETAMETHASONE,A
COEN,COENZYME Q 10,A
COLCHI,COLCHICINE,A
COLL,COLLAGEN,A
CPM+P,CPM+PHENYLPROPANILAMINE,A
CYPROH,CYPROHEPTADINE,A
CYPRO,CYPROTERONE ACETATE+ETHINYLESTRADIOL,A
DEQ,DEQUALINIUM CHLORIDE,A
DESLOR,DESLORATADINE,A
DESO,DESOGESTREL,A
DESETHI,DESOGESTREL+ETHINYLESTRADIOL,A
DESOXI,DESOXIMETHASONE,A
DEXA-N,DEXAMETHASONE + NEOMYCIN,A
DEXP,DEXPANTHENOL,A
DEXCHLOR,DEXTROMETHOPHAN+CHLORPHENIRAMINE+TERPIN,A
DEXT,DEXTROSE ANHYDROUS,A
DICLOF,DICLOFENAC,A
DICLOK,DICLOFENAC POTASSIUM,A
DICLOXA,DICLOXACILLIN,A
DIMETH,DICYCLOMINE+SIMETHICONE,A
DILTI,DILTIAZEM,A
DIMEN,DIMENHYDRINATE,A
DIMETHI,DIMETHINDENE,A
DS,DIOCTAHEDRAL SMECTITE,A
DIOS,DIOSMINE+HESPERIDINE,A
DIPH,DIPHENIDOL HCL,A
D-NORETH,D-NORGESTREL+ETHINYLESTRADIOL,A
DOCU,DOCUSATE SODIUM,A
DOMPER,DOMPERIDONE,A
DOXA,DOXAZOSIN,A
DOXY,DOXYCYCLINE,A
DOXYL,DOXYLAMINE,A
YASMIN,DROSPIRENENONE+ETHINYL ESTRADIOL,A
ENALA,ENALAPRIL,A
CARFER,ERGOTAMINE TARTATE + CAFFEINE,A
ESNORG,ESTRADIOL+NORGESTREL,A
EA,ETHYL ALCOHOL,A
ETO,ETORICOXIB,A
EUCA,EUCALYPTUS,A
FAMO,FAMOTIDINE,A
FELO,FELODIPINE,A
FENOF,FENOFIBRATE,A
FEFU,FERROUS FUMALATE,A
FEXOFEN,FEXOFENADINE,A
PROS,FINASTERIDE,A
FLAVOX,FLAVOXATE,A
FLUCO,FLUCONAZOLE,A
FLUNA,FLUNARIZINE,A
FLULI,FLUOCORTOLONE PIVALATE+ LIDOCAINE HCl,A
FLUORO,FLUOROMETHOLONE,A
FOLIC,FOLIC ACID,A
FUCID,FUCIDIC ACID,A
FUROSE,FUROSEMIDE,A
GABA,GABAPENTIN,A
GARLIC,GARLIC EXTRACT,A
GEMFI,GEMFIBROZIL,A
GESETHI,GESTODENE+ETHINYL ESTRADIOL,A
GINKGO,GINGKO-BILOBA,A
GLIBEN,GLIBENCAMIDE,A
GLICA,GLICAZIDE,A
GLIPI,GLIPIZIDE,A
GLUCOSA,GLUCOSAMINE,A
GLUC,GLUCOSE,A
GLYCER,GLYCERINE,A
GLYABS,GLYCYRRHIZINE SICCUM+ALUMINIUM+BISMUSMUTH+SODIUM SULPHATE,A
HYDRA,HYDRALAZINE,A
HYDROCOR,HYDROCORTISONE,A
HYP,HYDROXYALKYLPHOSPHONATE+POLOXAMINE,A
HCELL,HYDROXYPROPYLMETHYLCELLULOSE,A
HYDOXYZ,HYDROXYZINE,A
HYOS,HYOSCINE,A
HYPRO,HYPROMELLOSE,A
IBU,IBUPROFEN,A
INDO,INDOMETHACIN,A
IPRAFENO,IPRATROPIUM BROMIDE+FENOTEROL HYDROBROMIDE,A
ISO-F,ISOCONAZOLE + FLUCORTOLONE,A
ISOSORB,ISOSORBIDE DINITRATE,A
ISMO,ISOSORBIDE MONONITRATE,A
ISPA,ISPAGHULA HUSK,A
ITRA,ITRACONAZOLE,A
IVER,IVERMECTIN,A
KANA,KANAMYCIN,A
KETO,KETOCONAZOLE,A
KETOPRO,KETOPROFEN,A
LACTU,LACTULOSE,A
LECITHIN,LECITHIN,A
LEVOC,LEVOCETIRIZINE,A
LEVO,LEVODROPROPIZINE,A
LEVOFLOX,LEVOFLOXACIN,A
LEVON,LEVONORGESTREL,A
LEVOETHI,LEVONORGESTREL+ETHINYLOESTRADIOL,A
EUTHYROX,LEVOTHYROXINE SODIUM,A
LIDOC,LIDOCAINE,A
LOPER,LOPERAMIDE,A
LORATA,LORATADINE,A
