list,company
ยาน้ำสำหรับเด็ก,A
ยาหู ตา คอ จมูก,A
ยาใช้เฉพาะที่,A
อุปกรณ์ทางการแพทย์,A
"ยาสมุนไพร, ยาแผนโบราณ",A
ยาระบบการติดเชื้อ,A
ยาระบบกล้ามเนื้อ-ข้อต่อ,A
ยาทางเดินอาหาร,A
ยาระบบทางเดินหายใจ,A
ยาคุมกำเนิดและฮอร์โมนทดแท,A
ปวดหัว/ไมเกรน,A
"ยาแก้อาเจียน,เมารถเมาเรือ",A
ยาในโรคเรื้อรัง (Drug for,A
วิตามินและอาหารเสริม,A
ยาสามัญประจำบ้าน,A
ยาอม,A
เบ็ดเตล็ด,A
ยาดม,A
เครื่องสำอางและผลิตภัณฑ์ค,A
ผลิตภัณท์เด็ก,A
"สบู่,  สบู่เหลว,  ครีมอาบ",A
"สำลี, กระดาษทิชชู",A
ผ้าอ้อม,A
เครื่องสำอางและสินค้าอุปโภคบริโภค,A
ถุงยางอนามัย,A
แก้ปวด ลดอักเสบ,A
ยาระบบประสาทและสมอง,A
ยาหู ตา คอ จมูก,1000
ยาใช้เฉพาะที่,1000
อุปกรณ์ทางการแพทย์,1000
"ยาสมุนไพร, ยาแผนโบราณ",1000
ยาระบบการติดเชื้อ,1000
ยาระบบกล้ามเนื้อ-ข้อต่อ,1000
ยาทางเดินอาหาร,1000
ยาระบบทางเดินหายใจ,1000
ยาคุมกำเนิดและฮอร์โมนทดแท,1000
ปวดหัว/ไมเกรน,1000
"ยาแก้อาเจียน,เมารถเมาเรือ",1000
ยาในโรคเรื้อรัง (Drug for,1000
วิตามินและอาหารเสริม,1000
ยาสามัญประจำบ้าน,1000
ยาอม,1000
เบ็ดเตล็ด,1000
ยาดม,1000
เครื่องสำอางและผลิตภัณฑ์ค,1000
ผลิตภัณท์เด็ก,1000
"สบู่,  สบู่เหลว,  ครีมอาบ",1000
"สำลี, กระดาษทิชชู",1000
ผ้าอ้อม,1000
เครื่องสำอางและสินค้าอุปโภคบริโภค,1000
ถุงยางอนามัย,1000
แก้ปวด ลดอักเสบ,1000
ยาระบบประสาทและสมอง,1000
ยาน้ำสำหรับเด็ก,1000
