list,company
ANTIDIARRHOEALS,A
ANTIEMETICS & ANTIVERTIGO DRUG,A
AMINOGLYCOSIDES,A
ANTIACID,A
ANTIAMOEBICS,A
ANTIASTHMATIC PREPARATIONS,A
ANTIBIOTICS,A
ANTIDEPRESSANTS,A
ANTIDIABETIC,A
ANTIFLATULANCES,A
ANTIFUNGALS,A
ANTIHISTAMINES & ANTIALLERGICS,A
ANTIHYPERLIPIDAEMIC AGENTS,A
ANTIHYPERTENSIVES,A
ANTI-INFLAMMATORY ENZYMES,A
ANTILEPROTICS,A
ANTINEUROPATHIC,A
ANTISPASMODICS,A
ANTIVIRALS,A
ASPIRIN,A
CARDIAC DRUGS,A
CEPHALOSPORINS,A
CHLORAMPHENICOLS,A
CONTRACEPTIVE AGENTS,A
COUGH & COLD REMEDIES,A
DECONGESTANTS & OTHER NASAL PR,A
DIGESTIVE ENZYMES/DIGESTIVES,A
EAR PREPARATIONS,A
ERGOT,A
EYE PREPARATIONS,A
GOUT PREPARATIONS,A
"HAEMORRHOIDAL,PHLEBITIS & VARI",A
HORMONES,A
LAXATIVES,A
MACROLIDES,A
MEDICAL SUPPLY,A
MOUTH/THROAT PREPARATIONS,A
MUCOLYTIC,A
MUSCLE RELAXANTS,A
NSAIDs,A
PENICILLINS,A
QUINOLONES,A
STEROIDS,A
TETRACYCLINES,A
THYROID PREPARATIONS,A
Upper/Lower GI,A
VITAMINS & MINERALS,A
Antitussives,A
ANTIPATELET,A
"ANTITUSSIVE ,EXPECTORANT & ANTIHISTAMINE",A
OPIOIDS,A
OPHTHALMIC ,A
SELECTIVE SEROTONIN RECEPTOR AGONISTS,A
ANTIDIARRHOEALS,1000
ANTIEMETICS & ANTIVERTIGO DRUG,1000
AMINOGLYCOSIDES,1000
ANTIACID,1000
ANTIAMOEBICS,1000
ANTIASTHMATIC PREPARATIONS,1000
ANTIBIOTICS,1000
ANTIDEPRESSANTS,1000
ANTIDIABETIC,1000
ANTIFLATULANCES,1000
ANTIFUNGALS,1000
ANTIHISTAMINES & ANTIALLERGICS,1000
ANTIHYPERLIPIDAEMIC AGENTS,1000
ANTIHYPERTENSIVES,1000
ANTI-INFLAMMATORY ENZYMES,1000
ANTILEPROTICS,1000
ANTINEUROPATHIC,1000
ANTISPASMODICS,1000
ANTIVIRALS,1000
ASPIRIN,1000
CARDIAC DRUGS,1000
CEPHALOSPORINS,1000
CHLORAMPHENICOLS,1000
CONTRACEPTIVE AGENTS,1000
COUGH & COLD REMEDIES,1000
DECONGESTANTS & OTHER NASAL PR,1000
DIGESTIVE ENZYMES/DIGESTIVES,1000
EAR PREPARATIONS,1000
ERGOT,1000
GOUT PREPARATIONS,1000
"HAEMORRHOIDAL,PHLEBITIS & VARI",1000
HORMONES,1000
LAXATIVES,1000
MACROLIDES,1000
MEDICAL SUPPLY,1000
MOUTH/THROAT PREPARATIONS,1000
MUCOLYTIC,1000
MUSCLE RELAXANTS,1000
NSAIDs,1000
PENICILLINS,1000
QUINOLONES,1000
STEROIDS,1000
TETRACYCLINES,1000
THYROID PREPARATIONS,1000
Upper/Lower GI,1000
VITAMINS & MINERALS,1000
Antitussives,1000
ANTIPATELET,1000
"ANTITUSSIVE ,EXPECTORANT & ANTIHISTAMINE",1000
OPIOIDS,1000
OPHTHALMIC ,1000
SELECTIVE SEROTONIN RECEPTOR AGONISTS,1000
