company,list,qty,unit,fullname
A,ทาวันละ,1,ครั้ง,ทาวันละ 1 ครั้ง
A,ทาวันละ,2,ครั้ง,ทาวันละ 2 ครั้ง
A,รับประทานครั้งละ,2-Jan,เม็ด,รับประทานครั้งละ 1-2 เม็ด
A,ทาวันละ,5,ครั้ง,ทาวันละ 5 ครั้ง
A,หยอดครั้งละ,2-Jan,หยด,หยอดครั้งละ 1-2 หยด
A,หยอดครั้งละ,10-May,หยด,หยอดครั้งละ 5-10 หยด
A,ทาวันละ,4,ครั้ง,ทาวันละ 4 ครั้ง
A,รับประทานครั้งละ,4,เม็ด,รับประทานครั้งละ 4 เม็ด
A,ทาวันละ,3,ครั้ง,ทาวันละ 3 ครั้ง
A,รับประทานครั้งละ,2,เม็ด,รับประทานครั้งละ 2 เม็ด
A,รับประทานครั้งละ,1,เม็ด,รับประทานครั้งละ 1 เม็ด
A,รับประทานครั้งละ,2-Jan,ซอง,รับประทานครั้งละ 1-2 ซอง
A,รับประทานครั้งละ,4-Feb,เม็ด,รับประทานครั้งละ 2-4 เม็ด
A,รับประทานครั้งละ,2,ช้อนโต๊ะ,รับประทานครั้งละ 2 ช้อนโต๊ะ
A,รับประทานครั้งละ,3,เม็ด,รับประทานครั้งละ 3 เม็ด
A,พ่นช่องปากครั้งละ,2-Jan,ครั้ง,พ่นช่องปากครั้งละ 1-2 ครั้ง
A,พ่นเข้าจมูกข้างละ,3-Feb,ครั้ง,พ่นเข้าจมูกข้างละ 2-3 ครั้ง
A,รับประทานครั้งละ,3-Feb,เม็ด,รับประทานครั้งละ 2-3 เม็ด
A,พ่นเข้าจมูกข้างละ,1,ครั้ง,พ่นเข้าจมูกข้างละ 1 ครั้ง
A,พ่นเข้าจมูกข้างละ,2-Jan,ครั้ง,พ่นเข้าจมูกข้างละ 1-2 ครั้ง
A,พ่นเข้าจมูกข้างละ,........,ครั้ง,พ่นเข้าจมูกข้างละ ........ ครั้ง
A,หยอดครั้งละ,3-Feb,หยด,หยอดครั้งละ 2-3 หยด
A,หยอดครั้งละ,1,แท่ง,หยอดครั้งละ 1 แท่ง
A,เหน็บครั้งละ,1,แท่ง,เหน็บครั้งละ 1 แท่ง
A,รับประทานครั้งละ,2-Jan,ช้อนโต๊ะ,รับประทานครั้งละ 1-2 ช้อนโต๊ะ
A,รับประทานครั้งละ,2-Jan,เม็ด,รับประทานครั้งละ 1-2 เม็ด
A,รับประทานครั้งละ,1,ช้อนโต๊ะ,รับประทานครั้งละ 1 ช้อนโต๊ะ
A,ทาวันละ,3-Feb,ครั้ง,ทาวันละ 2-3 ครั้ง
A,ทาวันละ,4-Mar,ครั้ง,ทาวันละ 3-4 ครั้ง
A,รับประทานครั้งละ,ครึ่ง,เม็ด,รับประทานครั้งละ ครึ่ง เม็ด
A,รับประทานครั้งละ,1,ช้อนชา,รับประทานครั้งละ 1 ช้อนชา
A,เหน็บครั้งละ,2,เม็ด,เหน็บครั้งละ 2 เม็ด
A,รับประทานครั้งละ,4-Mar,เม็ด,รับประทานครั้งละ 3-4 เม็ด
A,รับประทานครั้งละ,2,เม็ด,รับประทานครั้งละ 2 เม็ด
A,รับประทานครั้งละ,.........,เม็ด,รับประทานครั้งละ ............. เม็ด
A,รับประทานครั้งละ,.........,ช้อนชา,รับประทานครั้งละ  ช้อนชา
A,รับประทานครั้งละ,.........,.........,รับประทานครั้งละ  
1000,ทาวันละ,1,ครั้ง,ทาวันละ 1 ครั้ง
1000,ทาวันละ,2,ครั้ง,ทาวันละ 2 ครั้ง
1000,รับประทานครั้งละ,2-Jan,เม็ด,รับประทานครั้งละ 1-2 เม็ด
1000,ทาวันละ,5,ครั้ง,ทาวันละ 5 ครั้ง
1000,หยอดครั้งละ,2-Jan,หยด,หยอดครั้งละ 1-2 หยด
1000,หยอดครั้งละ,10-May,หยด,หยอดครั้งละ 5-10 หยด
1000,ทาวันละ,4,ครั้ง,ทาวันละ 4 ครั้ง
1000,รับประทานครั้งละ,4,เม็ด,รับประทานครั้งละ 4 เม็ด
1000,ทาวันละ,3,ครั้ง,ทาวันละ 3 ครั้ง
